name,lat,lng,kind,photo,blurb
Christchurch,-43.5321,172.6362,city,,Start and finish. Airport pickup and drop.
Lake Tekapo,-44.0046,170.4786,stop,,Church of the Good Shepherd and the bluest water on the route.
Lake Pukaki,-44.19,170.13,stop,Lake Pukaki 21.jpg,Coffee and photo stop with Aoraki at the end of the lake.
Wanaka,-44.7032,169.1321,town,LakeWanakaNov262024 02.jpg | Wanaka Lake (49533040817).jpg,Lakefront town. That Wanaka Tree is 10min walk from the centre.
Cromwell,-45.0384,169.199,stop,,Start of the Lake Dunstan Trail. E-bike hire and shuttles here.
Clyde,-45.1867,169.32,stop,,End of the Lake Dunstan Trail. Historic main street and a good pub.
Queenstown,-45.0312,168.6626,town,,Two nights. Gondola and the Earnslaw for the free day.
Gibbston Valley,-45.018,168.925,stop,,Cellar doors 25min out of Queenstown.
Te Anau,-45.4145,167.718,town,wiki:Lake Te Anau,Gateway to Fiordland. Quiet lakefront.
Manapouri,-45.5661,167.6089,stop,wiki:Lake Manapouri,Doubtful Sound cruises leave from Pearl Harbour here.
Doubtful Sound,-45.3105,166.992,stop,,"Three hours of silence on the fiord, reached by boat and bus over Wilmot Pass."
Haast Pass,-44.1039,169.3563,stop,,Blue Pools and Thunder Creek Falls on the way over.
Franz Josef,-43.3878,170.1819,town,"View into valley of Franz Josef Glacier in spring.jpg | Franz Josef Glacier, South Island.jpg",Glacier viewpoint is a 30min stroll from the car park.
Hokitika,-42.7167,170.9667,stop,,Driftwood sign on the beach and pounamu carvers.
Punakaiki,-42.1103,171.3315,stop,wiki:Pancake Rocks and Blowholes,Pancake Rocks and the Truman Track.
Pororari River Track,-42.103,171.3335,stop,,Nikau palms and limestone cliffs along a slow green river. The forest walk at Punakaiki.
Westport,-41.7536,171.6045,stop,wiki:Buller Gorge,Fuel and a break before the Buller Gorge.
Wakefield,-41.4014,173.05,stop,,The pie stop. Wakefield Bakery on SH6.
Nelson,-41.2706,173.284,town,,Two nights. Start of the Great Taste Trail.
Mapua,-41.2544,173.0981,stop,,End of the Great Taste Trail ride. Ferry and wharf lunch.
Kaiteriteri,-41.0392,173.0134,stop,,Golden sand beach and water taxis into Abel Tasman.
Renwick,-41.5081,173.826,town,wiki:Marlborough wine region,Airbnb among the vines. Cellar doors within walking distance.
Kaikoura,-42.4,173.68,stop,,Crayfish at Nin's Bin and seals at Point Kean.
